Word,POS,Meaning,English_Sentence,Chinese_Translation
barber,n. 名詞,理髮師,The barber gave him a fresh haircut.,理髮師給他剪了一個清爽的髮型。
bark,v. 動詞,吠叫,My dog likes to bark at the mailman.,我的狗喜歡對郵差吠叫。
base,n. 名詞,底部；基礎,The statue stands on a strong stone base.,這座雕像立在堅固的石質底座上。
baseball,n. 名詞,棒球,We played baseball in the park yesterday.,我們昨天在公園打棒球。
basement,n. 名詞,地下室,They keep old boxes in the cool basement.,他們把舊箱子放在涼爽的地下室。
basic,adj. 形容詞,基本的,Learn the basic rules before you play.,玩之前先學習基本規則。
basket,n. 名詞,籃子,She put the apples into the woven basket.,她把蘋果放進編織籃子裡。
basketball,n. 名詞,籃球,Do you want to play basketball after school?,你放學後想打籃球嗎？
bat,n. 名詞,球棒；蝙蝠,The player swung the wooden bat hard.,選手用力揮舞著木製球棒。
bath,n. 名詞,泡澡；洗澡,I love to take a warm bath after work.,我喜歡下班後泡個熱水澡。
bathe,v. 動詞,洗澡,I bathe my dog once a week.,我每週幫我的狗洗一次澡。
bathroom,n. 名詞,浴室；廁所,The bathroom is on the left.,浴室在左邊。
beach,n. 名詞,海灘,Let's go to the beach this weekend.,我們這週末去海灘吧。
bean,n. 名詞,豆子,I like to eat green beans.,我喜歡吃四季豆。
bear,n. 名詞,熊,A big bear lives in the forest.,一隻大熊住在森林裡。
beard,n. 名詞,鬍子,My grandpa has a long white beard.,我爺爺有很長的白鬍子。
beat,v. 動詞,打敗；擊敗,He can beat me at chess easily.,他可以輕易地在西洋棋上打敗我。
beautiful,adj. 形容詞,美麗的,What a beautiful day it is!,今天真是美好的一天！
beauty,n. 名詞,美麗；美貌,Her beauty is truly captivating.,她的美麗真的令人著迷。
because,conj. 連接詞,因為,I like to read because it's fun.,我喜歡閱讀，因為它很有趣。
become,v. 動詞,變成；成為,She wants to become a doctor.,她想成為一名醫生。
bed,n. 名詞,床,"I'm tired, I'm going to bed.",我累了，我要去睡覺了。
bedroom,n. 名詞,臥室,My bedroom is on the second floor.,我的臥室在二樓。
bee,n. 名詞,蜜蜂,A bee flew into the garden.,一隻蜜蜂飛進了花園。
beef,n. 名詞,牛肉,I like to eat beef noodles.,我喜歡吃牛肉麵。
beer,n. 名詞,啤酒,Would you like a cold beer?,你想來一杯冰啤酒嗎？
before,prep. 介系詞,在...之前,Please wash your hands before dinner.,請在晚餐前洗手。
begin,v. 動詞,開始,Let's begin the class now.,我們現在開始上課吧。
beginner,n. 名詞,初學者,This course is for beginners.,這門課是為初學者設計的。
